path	git_blob_sha	size	file_class	review_method	review_status	finding_reference
.directory	b7d05f699a465c5aaa0699fd2352bc764e54319f	84	historical-lineage	historical-report consistency review	reviewed-finding	root README.md marks historical, unread by products; F5-N2: KDE folder-settings file tracked since 5ca774e; carries a developer-local absolute path into the candidate source archive
LC language structure tree.txt	7b04534fc9aaa80c35ad7d16827d76b8d3463160	721	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/00_RELEASE/01_RELEASE_STATUS_AND_BOUNDARY.txt	cb7f48b9c6253723524ee301def166075b935048	1095	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/00_RELEASE/02_NORMATIVE_AUTHORITY_ORDER.txt	aa517e5df3b6f6c9d29a43607f5ed17b6d8fe859	754	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/00_RELEASE/03_COMPLETENESS_CRITERIA.txt	59dc8e92d634667c1b2936ef3cd42564aaeb3c80	965	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/00_RELEASE/04_CHANGE_CONTROL.txt	d5413005d954c82ca3467d7b2ffab7fa7798ed98	387	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/01_FOUNDATION/01_PURPOSE_AND_TERMINOLOGY.txt	e2edabf4f74756fa104c04c796e64165f53871c6	857	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/01_FOUNDATION/02_DESIGN_PRINCIPLES.txt	33659102c2ba6e18830fa64d01cc27a17123b126	783	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/01_FOUNDATION/03_NORMATIVE_PROCESSING_MODEL.txt	2c1a2dc59bdc92ce190a2151602406a27c2624a7	1091	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/01_FOUNDATION/04_DOCUMENT_KINDS_AND_BOUNDARIES.txt	1853a4b7f7b295d5e5c9fa0f63a10b2e26e23c55	610	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/01_FOUNDATION/05_NORMATIVE_AND_NON_NORMATIVE_CONTENT.txt	2cc541ee2c7380052a301049bf721c35caa894ae	539	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/02_LEXICAL/01_CHARACTER_ENCODING_AND_SOURCE_TEXT.txt	9000d2fd5102b260e67931bb7d85e480c4ad9bc7	748	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/02_LEXICAL/02_WHITESPACE_INDENTATION_AND_LINES.txt	c6d3a8d66a7c6441eb737f5f6c36835d43984bf1	782	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/02_LEXICAL/03_IDENTIFIERS_NAMESPACES_AND_RESERVED_NAMES.txt	b2c4a96d5fd43c1dda98d2318d869d3a2f686c33	714	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/02_LEXICAL/04_RESERVED_WORDS.txt	f92a0409c3c24e2cd7271ad5daa65fa362a533ac	1668	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
LCL_Core_0_1_Final/02_LEXICAL/05_KEYWORD_REFERENCE_A_TO_M.txt	440c839c43d994986fca463ef2397673ae81218b	12618	historical-lineage	historical-report consistency review	reviewed-pass	root README.md marks historical, unread by products
